Reviewer,Date,Review
Ideal Peninsula,10 months ago,Nasi lemak taste like a plain rice. Sambal too sweet. Anchovies given too little and u must pay for the boiled egg that supposed to be free. Not worth it at all.. too pricey too.. should improve on yr service too
nur faizah,3 months ago,"the food was a bit salty, but the amount was very worth it. great environment tho ! full of people but many spots to sit and dine in"
Yusni Yusof,11 months ago,"Tetiba sedap sangat nasi lemak wanjo ni. Harga kayangan sikit lah, tapi sedap. Kenyang sampai ke petang. I makan sambal kerang n limpa dgn teh ais. Parking susah, i ambik parking berbayar depan wanjo bayar rm5. Buka sampai malam. Recommended and will repeat again."
Melissa Suarman,5 months ago,"everything taste basic and overprice . u can cari outside laa lagi murah and sedap. oso, the staffs is very rude .  yk whats the 5/5 here?? their bergedel"
Amir,a year ago,Sedap tapi kecewa sebab sambal kerang berpasir kasarÂ². Potong selera berbuka. Perlu pastikan bersih semasa penyediaan
NAZMI SUDIN,4 months ago,"Nasi lemak ok,sambal tak pedas sangat sesuai dengan semua."
Elly M,9 months ago,Overrated and overpriced. Nasi sejuk dan sambal takde apa pun. Yang ok cuma paru dan ikan bilis rangup. Yang lain fail. Kopi o pun cair. Cuma tempat duduk banyak dan ada sistem teratur bila order. Honestly would not recommend.
Defi Ardi,2 years ago,"During weekends the place was packed even at morning. Great food, fragrance nasi lemak and many choices of side dishes. The sambal quite sweet for me. Service was quick and excellent."
Keigan Lee,9 months ago,My all-time favourite Nasi Lemak! Can get a little crowded during dinner. Outdoor + Indoor seating. Superbly flavourful and not very spicy especially for tourists!
My Profile,5 months ago,"Harga ok. Kerang masin sikit, kuah nasi lemak ok. Parking je la leceh kalau kg baru"
Cheng Hong Koh,9 months ago,Been having since I am just a little boy back then when my family still stay in setapak. Still as nice as it used to be
MARSHALL EMBERTON,3 years ago,"Not a fan of a sweet nasi lemak sambal. Not the best nasi lemak. The kerang sambal is good. My personal point of view, it feels like the MSG content is high. You should try it yourself."
Mohd Nizar Ma'abar,2 months ago,"This food stall places has the one famous of those ""nasi lemak kukus""it situated in jln raja abdullah kg baru,kuala lumpur as the way to arouse appetites taste as combination with nasi lemak kukus the food stall has serve fresh spicy fried â€¦"
azureen azroei,a month ago,Ok je sedapp. Agak pricey sikit. Harga org keyyyy elll.. ðŸ˜ â€¦
Mahadzer Arshad,a month ago,Flavorful rice and above average chicken and sambal. I like the nescafe
Nur Fathia,a year ago,"Tempat bersih,makanan sedap,layanan staff baik..mungkin boleh tambah baik servis untuk ambil order di meja bagi golongan istimewa(OKU)...ðŸ˜˜ â€¦"
Wong Joe Wo,6 months ago,"I went there post dinner to order take away, they've upgrade the place to a whole new level with super great service, much better than the previous years. The place is super clean and bright, the smell were amazing and the dishes option were alot."
Fasihah Athirah,8 months ago,Sambal manis sngt  dan lauk lain pn ada yg manis jugk. Suasana kedai agak kotor dgn meja yg ada pinggan and tisu yg tk dikemas lagiâ€¦For me its just a HYPE much better nasi lemak yg jual kat tepi jln
wan PR,a year ago,1 hidangan RM10.  Memang berbaloi dengan rasanya. Puas hati..
Amin Jalil,9 months ago,"I am not sure why most people wrote in the review that Nasi Lemak Wanjo is tasty even in fact it is not. So disappointed with the nasi lemak taste, felt like nasi kosong yang biasa. Also the sambal is so overrated, rasa macam sambal hangit â€¦"
eika faiz,a month ago,Nasi makin lama makin sikit. Tak berbaloi dah dengan harga.
nadia syafiqah,9 months ago,"Went because of the hype but dont feel will go there again. Nasi lemak was okay, but sambal taste like cili boh, no sambal feeling. A number of side dishes( ayam rendang, ayam goreng, sambal kerang, sambal sotong). Got shop selling fresh smoothies, i took avocado smoothies and that is very nice."
Anonymous,5 months ago,"Rasa biasa jer,  harga tak rahmah. nak dine in untuk berbuka kena awal kalau tak nanti meja tak ada"
Aiman Al Faruq,2 weeks ago,"Pekerja kerek, marah sbb smbung meja dan undang2 xmunasabah."
Denny Yapp,8 months ago,"A must try when you are in Kuala Lumpur. Service was fast and efficient. Cleanliness is a little bit below par, otherwise satisfactory. Portion is very humble. Really worth the amount paid for."
A'in Nazlina Abu Bakar,9 months ago,"The rice is nice, sambal was mild not spicy....overall was OK but I wouldn't say it's the best nasi lemak in town though.... â€¦"
izdihar zul,a month ago,Antara yang terbaik di Kg Baru ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦
Anwar Hassan,2 years ago,"My fav nasi lemak joint since 1980s... seen through so many changes to the ""warong"", but the great nasi lemak taste remains the same especially the key ingredient.... Sambal! and of course the nasi lemak kukus, crispy anchovies.. and many many lauks"
Fadhlina Mohd Nor,9 months ago,Bulan 8 hari tu makanan rasa sedap je. Tp kali ni dtg mcm dh kureng rsnya. Tnya husband ngan anak pn sama. Terkulat kulat ku nak habiskan nasi lemak tu. Makan sambil minum air teh o ais nya nk bg blh telan. Huhuhu
Norain Natasha,a year ago,"Nasi, sambal semuaa sedapp!!! Siapa yg percaya review kata tak sedap tuuu mmg rugi"
Jowen Goh,9 months ago,Chilli on the sweeter side whereas i prefer my sambal more savoury with a kick. Fried chicken also quite a let down with minimal rempahs to flood the nasi lemak. Enjoyed the rendang and ayam Masak merah. The variety available and fast moving queue is a plus!
Steven Ong,2 years ago,"One of the best nasi lemak in town, reasonable price and good to visit this neighborhood in center city"
Chris Robinson,8 months ago,"Everyone in KL knows the Nasi Lemak here is perfection. Fluffy rice, wide choice of curries and you can even get a fried egg on top. Old hands in KL know this us where you go."
Wiera A.K,9 months ago,"I ate this last year(2022) and honestly it not delicious as shown in social media. Rice taste bland without santan and sambal taste like water. And also, the staff there not friendly and rude. Sorry for comment honestly but I hope they will change for better."
Sahril Salim,3 years ago,"Nice cozy place to eat good nasi lemak. Lots of variety of lauk to choose, sambal is nice"
Murshyid Nordin,4 years ago,"The taste of nasi lemak very authentic and recommended for those who want to try the original nasi lemak, rice is very aromatic and sambal (sauce) super tasty and sweet. Marvelous!!"
M. SIVA,8 months ago,Parking is an issue but the restaurant provides a good tasty nasi lemak.Price is still acceptable.They have a different lane for dine in n take away.There are many other restaurants around. Surrounding looks very conjusted.
Aiman Amdan,9 months ago,"Good place to enjoy nasi lemak. Rice and dishes are always warm. Expect huge crowd, but thereâ€™s plenty of seats available. Freshly blended fruit juices are available as well."
Masda Silah,2 weeks ago,MMG sedap..tapi harga dia Pon boleh tahan
Reid K,4 months ago,First time trying nasi lemak. Tried to get a little bit of everything. Was very tasty.
azlan syaiful,a year ago,nasi sambal sedap nasi lemak elok. sambal x pedas mungkin adjust kasi semua boleh makan. kedai juga bersih dan selesa
seung yun Noh,9 months ago,"It is a place that is delicious, has many kinds, and is clean."
Marcus Lau,11 months ago,"The sambal is overly salty. Overall taste is just average, a lot of roadside nasi lemak at other places are much better than wanjo. The reviewers have over rated wanjo. I also ordered an additional small bowl of plain rice, they charged RM3. This is extremely pricey.  Will not go back again."
gulshan vasdave,8 months ago,This area only had one nasi lemak which was the best Nasi Lemak Antrabangsa now closed down. â€¦
ARFAZ RISE,4 months ago,nasi lemak so so je. takde yang sedap pun. buat air pun tawarðŸ‘ŽðŸ‘Ž â€¦
judio de,3 weeks ago,"makanan yang sedap, perkhidmatan yang cepat, suasana yang baik â­â­â­â­"
Mukmin Burhan Tajuddin,6 months ago,Shop has been updated! Clean and conducive area to talk and do discussions & meetings. Food was good freshly cooked.
Ace Khaw,9 months ago,"Queue was long but itâ€™s moving. Parking can be difficult to find. Good luck. A lot of seats available, so do not worry. â€¦"
yudesh vasudiwan,11 months ago,It's alright. Decent nasi lemak. No peanuts were served which is odd because there are very few dishes the comprise of a nasi lemak anyway. Sambal was too sweet and not spicy enough for my preference. The place could be a little bit overhyped however I did enjoy my meal. Just definitely not among the best nasi lemaks I've had.
Faruq Arif Tajul Ariffin,a year ago,Great nasi lemak & reasonable price. They have recently renovated the restaurant and its very cosy now.
eChe,6 years ago,"It turns out that I'm not a big nasi lemak fan, but this one was really ok, and at a very affordable price."
Patricia Ramali,6 months ago,"Had the beef rendang, paru and kerang. The paru was so good with the sambal. Sambal was on the sweeter side, but all in all, it was a good nasi lemak."
Malz Oracion,a year ago,If you were ever in KL. I highly recommend you to go and eat the most delicious Nasi Lemak here. This Nasi Lemak has been here and expanded since I was a kid. What a sustained business by the owner. Their Nasi Lemak came with different â€¦
Lokesh Bogati,6 months ago,I can say this is a family style restaurant and always crowded. I really liked the food out here and the vibe was really good. â€¦
syaheezam mohd,a month ago,Nice nasi lemak. Service is also very good.
Gene F. WU,8 months ago,A bit salty for fried chicken. Just canâ€™t get enough of mango smoothie there ;)
Mohd Ridzuan,8 months ago,"Had chicken & beef rendang for supper with 5 other family members. Experienced food poisoning the day after, due to beef rendang, whilst other were okay because they did not take rendang. â€¦"
ben le,8 months ago,"We went at 8pm, though the line was long the wait wasn't. We had a disappointing experience with all three pieces of chicken being very dry and unpleasant to eat. But for a cheap and fast meal it's not too shabby, if you're worried about it being dry try the sauced chicken instead. Go to jolibee for a better chicken time"
Zakhir Azam,8 months ago,Best Nasi Lemak in town ðŸ‘Œ . Free unlimited filtered Coway Water available. Has air conditioning area of which you have to pay a little bit of surcharge per person @ RM1-2 â€¦
Abi Abdul,8 months ago,An excellent place to enjoy traditional nasi lemak in the heart of Kuala Lumpur...its a popular place with fresh fruit juices to choose from to go with your nasi lemak in addition to hot coffee or tea or other beverages. The only challenge is to find a good parking slot but quite a number of slots are there for a fee...its must try.
Azleen Azaidah Abdullah,3 years ago,Clean. Spacious. Quite a crowd for breakie. A little pricey for nasi lemak biasa. Nothing extra ordinary of nasi lemak. Parking is not a problem - for RM5.00 per day or can opt for RM5.00 for 3 hours. Otherwise drive along to catch a spot.
Zaaba Khairuddin,a year ago,"Not the best nasi lemak in country but the location, service, staff deserve the stars. Malaysianâ€™s pride."
experia miro,3 years ago,"Good place for a good nasi lemak but parking lot not easily available, it's in kg baru where all the traditional Malay food available."
Sham AR,8 months ago,"Hari Ahad-12.2.2023,makan Nasi Lemak +Ayam Rendang+Sotong Sambal. Sayang nya...Sotong takde taste langsung tetapi yang lain nya okay."
Norazlinda Ridzuan,4 months ago,Food so far so good..tempat ada pilihan utk customer di luar atau beraircond. Selesa..
Pak Di,a year ago,"Nasi lemak biasa je, tapi sbb tmpt ni viral beratur panjang. Meja makan yg ada ekon kena bayar sorg singgit. Ok la kalau jenis nak rasa tmpt baru. Tp pada aku biasa2 je. Selera masing2 kan."
anton hermawan,5 years ago,One of the best nasi lemak I have ever had... the rice and sambal is very tasty? Ikan bilis is crunchy and the sotong is very tender... recommended
Q Az,2 years ago,sedap.pelbagai lauk pauk. servis laju. staffÂ² friendly. harga boleh tahan gak. yang penting kedai bersih dan selesa
mandu,11 months ago,"Authentic Nasi Lemak, portion is huge and fresh!"
king malique,7 months ago,Sambal n nasi lemak still maintain the standard. But for lauk kena jaga   quality ade masa masin ade masa mcm tawar sikit.
Hungry Piglet,8 months ago,"Fried the squid and the cockle lasi lemak. Was really spicy but the star of the show was the coconut rice, was so fragrant !! Paid RM13 for one bowl , be prepared for very long queues"
Muhaizal Isma Ismail,a month ago,Sedap... cekap..selesa..
Mike Han,9 months ago,"Kg.Bharu LRT station; take right then turn right again, then at the junction turn left and WANJO is just about 200 meters ahead on the right hand side of the road. Unmistakable, with it's large signage and very inviting bright interior â€¦"
Alex Lim,2 years ago,Tapau - fabulous nasi lemak esp the sauce. Delivery charge was reasonable as we ordered 10. Best nya!
